,Flight Number,Launch Site,Outcome,Payload Mass (kg),Booster Version
0,1,CCAFS LC-40,0,0,v1.0
1,2,CCAFS LC-40,0,0,v1.0
2,3,CCAFS LC-40,0,525,v1.0
3,4,CCAFS LC-40,0,500,v1.0
4,5,CCAFS LC-40,0,677,v1.0
5,7,CCAFS LC-40,0,3170,v1.1
6,8,CCAFS LC-40,0,3325,v1.1
7,9,CCAFS LC-40,0,2296,v1.1
8,10,CCAFS LC-40,0,1316,v1.1
9,11,CCAFS LC-40,0,4535,v1.1
10,12,CCAFS LC-40,0,4428,v1.1
11,13,CCAFS LC-40,0,2216,v1.1
12,14,CCAFS LC-40,0,2395,v1.1
13,15,CCAFS LC-40,0,570,v1.1
14,16,CCAFS LC-40,0,4159,v1.1
15,17,CCAFS LC-40,0,1898,v1.1
16,18,CCAFS LC-40,0,4707,v1.1
17,19,CCAFS LC-40,1,1952,v1.1
18,20,CCAFS LC-40,1,2034,FT
19,22,CCAFS LC-40,0,5271,FT
20,23,CCAFS LC-40,1,3136,FT
21,24,CCAFS LC-40,1,4696,FT
22,25,CCAFS LC-40,1,3100,FT
23,26,CCAFS LC-40,0,3600,FT
24,27,CCAFS LC-40,1,2257,FT
25,28,CCAFS LC-40,1,4600,FT
26,6,VAFB SLC-4E,0,500,v1.1
27,21,VAFB SLC-4E,0,553,v1.1
28,29,VAFB SLC-4E,1,9600,FT
29,37,VAFB SLC-4E,1,9600,FT
30,40,VAFB SLC-4E,1,475,FT
31,42,VAFB SLC-4E,1,9600,B4
32,46,VAFB SLC-4E,0,9600,FT
33,49,VAFB SLC-4E,0,2150,FT
34,51,VAFB SLC-4E,0,9600,B4
35,55,VAFB SLC-4E,0,6460,B4
36,30,KSC LC-39A,1,2490,FT
37,31,KSC LC-39A,0,5600,FT
38,32,KSC LC-39A,1,5300,FT
39,33,KSC LC-39A,1,3696.65,FT
40,34,KSC LC-39A,0,6070,FT
41,35,KSC LC-39A,1,2708,FT
42,36,KSC LC-39A,1,3669,FT
43,38,KSC LC-39A,0,6761,FT
44,39,KSC LC-39A,1,3310,B4
45,41,KSC LC-39A,1,4990,B4
46,43,KSC LC-39A,1,5200,FT
47,44,KSC LC-39A,1,3500,B4
48,54,KSC LC-39A,1,3600,B5
49,45,CCAFS SLC-40,1,2205,FT
50,47,CCAFS SLC-40,1,3696.65,B4
51,48,CCAFS SLC-40,0,4230,FT
52,50,CCAFS SLC-40,0,6092,B4
53,52,CCAFS SLC-40,0,2647,B4
54,53,CCAFS SLC-40,1,362,B4
55,56,CCAFS SLC-40,0,5384,B4
